
using device: mps
loaded 338025 tokens
1 epoch = 20 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False
./train_get2.py:330: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  norm = torch.nn.utils.clip_grad_norm(model.parameters(), 1.0)
step61 | loss: 6.949411869049072 | dt: 3201.60ms | tok/sec:  5117.43 | norm: 2.00
step62 | loss: 7.043889045715332 | dt: 3211.92ms | tok/sec:  5101.01 | norm: 1.55
step63 | loss: 6.940386772155762 | dt: 3165.69ms | tok/sec:  5175.50 | norm: 2.26
step64 | loss: 6.821646690368652 | dt: 3138.65ms | tok/sec:  5220.07 | norm: 2.01
step65 | loss: 6.954048156738281 | dt: 3109.58ms | tok/sec:  5268.88 | norm: 1.60
step66 | loss: 7.0423712730407715 | dt: 3117.51ms | tok/sec:  5255.47 | norm: 2.35
step67 | loss: 6.90988826751709 | dt: 3071.25ms | tok/sec:  5334.63 | norm: 1.58
step68 | loss: 6.732656478881836 | dt: 3003.93ms | tok/sec:  5454.19 | norm: 1.41
step69 | loss: 6.671307563781738 | dt: 2999.54ms | tok/sec:  5462.18 | norm: 1.69
step70 | loss: 6.608358860015869 | dt: 2956.62ms | tok/sec:  5541.46 | norm: 1.57
step71 | loss: 6.602980136871338 | dt: 2933.69ms | tok/sec:  5584.78 | norm: 1.37
step72 | loss: 6.498719215393066 | dt: 2871.50ms | tok/sec:  5705.73 | norm: 1.39
step73 | loss: 6.599798679351807 | dt: 2836.88ms | tok/sec:  5775.35 | norm: 1.65
step74 | loss: 6.619961738586426 | dt: 2828.21ms | tok/sec:  5793.07 | norm: 1.38
step75 | loss: 6.427659034729004 | dt: 2828.44ms | tok/sec:  5792.59 | norm: 1.41
step76 | loss: 6.369080543518066 | dt: 2790.86ms | tok/sec:  5870.60 | norm: 1.51
step77 | loss: 6.325583457946777 | dt: 2766.77ms | tok/sec:  5921.72 | norm: 1.24
step78 | loss: 6.2987380027771 | dt: 2797.54ms | tok/sec:  5856.57 | norm: 1.29
step79 | loss: 6.112034320831299 | dt: 2724.00ms | tok/sec:  6014.69 | norm: 1.20
step80 | loss: 6.310110092163086 | dt: 2722.48ms | tok/sec:  6018.05 | norm: 1.27
step81 | loss: 6.036755084991455 | dt: 2698.30ms | tok/sec:  6071.98 | norm: 1.31
step82 | loss: 6.150604248046875 | dt: 2684.86ms | tok/sec:  6102.37 | norm: 1.44
step83 | loss: 6.078367233276367 | dt: 2638.44ms | tok/sec:  6209.74 | norm: 1.31
step84 | loss: 5.978620529174805 | dt: 2653.53ms | tok/sec:  6174.41 | norm: 1.33
step85 | loss: 6.136116027832031 | dt: 2640.50ms | tok/sec:  6204.88 | norm: 1.32
step86 | loss: 6.281791687011719 | dt: 2635.33ms | tok/sec:  6217.07 | norm: 1.09
step87 | loss: 6.078455924987793 | dt: 2649.76ms | tok/sec:  6183.20 | norm: 1.39
step88 | loss: 6.0052385330200195 | dt: 2632.72ms | tok/sec:  6223.22 | norm: 1.06
step89 | loss: 5.933870315551758 | dt: 2637.15ms | tok/sec:  6212.77 | norm: 1.27
step90 | loss: 5.91022253036499 | dt: 2609.41ms | tok/sec:  6278.82 | norm: 1.28
step91 | loss: 5.879785537719727 | dt: 2616.33ms | tok/sec:  6262.21 | norm: 1.31
step92 | loss: 5.781484603881836 | dt: 2603.19ms | tok/sec:  6293.81 | norm: 4.18
step93 | loss: 5.995814800262451 | dt: 2579.92ms | tok/sec:  6350.58 | norm: 2.83
step94 | loss: 6.051200866699219 | dt: 2566.00ms | tok/sec:  6385.03 | norm: 1.52
step95 | loss: 5.841591835021973 | dt: 2579.28ms | tok/sec:  6352.16 | norm: 1.03
step96 | loss: 5.70548152923584 | dt: 2574.81ms | tok/sec:  6363.18 | norm: 1.56
step97 | loss: 5.644520282745361 | dt: 2571.06ms | tok/sec:  6372.48 | norm: 1.50
step98 | loss: 5.692702293395996 | dt: 2563.95ms | tok/sec:  6390.15 | norm: 1.43
step99 | loss: 5.48012638092041 | dt: 2562.39ms | tok/sec:  6394.03 | norm: 1.70
step100 | loss: 5.808117389678955 | dt: 2554.94ms | tok/sec:  6412.67 | norm: 1.53
step101 | loss: 5.478142261505127 | dt: 2568.78ms | tok/sec:  6378.11 | norm: 2.08
step102 | loss: 5.619183540344238 | dt: 2566.57ms | tok/sec:  6383.61 | norm: 1.23
step103 | loss: 5.450833320617676 | dt: 2555.25ms | tok/sec:  6411.90 | norm: 1.55
step104 | loss: 5.356910228729248 | dt: 2544.26ms | tok/sec:  6439.60 | norm: 1.50
step105 | loss: 5.511743545532227 | dt: 2562.13ms | tok/sec:  6394.68 | norm: 1.56
step106 | loss: 5.756675720214844 | dt: 2562.96ms | tok/sec:  6392.62 | norm: 1.16
step107 | loss: 5.5253705978393555 | dt: 2550.82ms | tok/sec:  6423.03 | norm: 1.12
step108 | loss: 5.524540424346924 | dt: 2555.23ms | tok/sec:  6411.95 | norm: 1.21
step109 | loss: 5.446027755737305 | dt: 2518.92ms | tok/sec:  6504.37 | norm: 1.16
step110 | loss: 5.463736057281494 | dt: 2567.66ms | tok/sec:  6380.92 | norm: 1.03
step111 | loss: 5.436388969421387 | dt: 2558.56ms | tok/sec:  6403.60 | norm: 1.09
step112 | loss: 5.340181350708008 | dt: 2582.85ms | tok/sec:  6343.38 | norm: 0.89
step113 | loss: 5.643492698669434 | dt: 2561.54ms | tok/sec:  6396.14 | norm: 1.52
step114 | loss: 5.7062225341796875 | dt: 2545.45ms | tok/sec:  6436.58 | norm: 1.14
step115 | loss: 5.416341781616211 | dt: 2547.42ms | tok/sec:  6431.60 | norm: 1.16
step116 | loss: 5.232900619506836 | dt: 2535.08ms | tok/sec:  6462.92 | norm: 1.32
step117 | loss: 5.21536922454834 | dt: 2557.10ms | tok/sec:  6407.26 | norm: 1.29
step118 | loss: 5.26173210144043 | dt: 2576.39ms | tok/sec:  6359.28 | norm: 1.47
step119 | loss: 5.0444865226745605 | dt: 2745.49ms | tok/sec:  5967.61 | norm: 1.28
step120 | loss: 5.483781814575195 | dt: 2615.33ms | tok/sec:  6264.59 | norm: 1.62
step121 | loss: 5.162362098693848 | dt: 2566.98ms | tok/sec:  6382.59 | norm: 1.61
step122 | loss: 5.2798686027526855 | dt: 2535.75ms | tok/sec:  6461.20 | norm: 1.39
step123 | loss: 5.088528633117676 | dt: 2597.95ms | tok/sec:  6306.52 | norm: 1.46
step124 | loss: 4.971136093139648 | dt: 2601.04ms | tok/sec:  6299.02 | norm: 1.26
step125 | loss: 5.148930549621582 | dt: 2574.10ms | tok/sec:  6364.94 | norm: 1.19
step126 | loss: 5.404263496398926 | dt: 2708.03ms | tok/sec:  6050.16 | norm: 1.38
step127 | loss: 5.155813217163086 | dt: 2639.24ms | tok/sec:  6207.85 | norm: 1.19
step128 | loss: 5.189501762390137 | dt: 2565.92ms | tok/sec:  6385.23 | norm: 1.10
step129 | loss: 5.064993381500244 | dt: 2592.39ms | tok/sec:  6320.03 | norm: 1.41
step130 | loss: 5.076198577880859 | dt: 2550.43ms | tok/sec:  6424.01 | norm: 1.22
step131 | loss: 5.0662431716918945 | dt: 2548.44ms | tok/sec:  6429.03 | norm: 1.08
step132 | loss: 4.952311992645264 | dt: 2555.54ms | tok/sec:  6411.18 | norm: 1.12
step133 | loss: 5.315155029296875 | dt: 2644.46ms | tok/sec:  6195.58 | norm: 1.73
step134 | loss: 5.419223785400391 | dt: 2548.74ms | tok/sec:  6428.27 | norm: 1.69
step135 | loss: 5.116021156311035 | dt: 2568.03ms | tok/sec:  6379.99 | norm: 1.19
step136 | loss: 4.917801856994629 | dt: 2551.12ms | tok/sec:  6422.28 | norm: 1.64
step137 | loss: 4.9184417724609375 | dt: 2849.78ms | tok/sec:  5749.22 | norm: 1.46
